iter	Passed	Remaining
142	436	2617
143	438	2607
144	440	2598
145	442	2589
146	444	2581
147	446	2571
148	448	2561
149	450	2552
150	452	2542
151	454	2534
152	456	2525
153	458	2517
154	460	2510
155	462	2501
156	464	2494
157	466	2487
158	468	2478
159	470	2470
160	472	2461
161	474	2455
162	476	2449
163	479	2442
164	481	2435
165	483	2428
166	485	2422
167	487	2415
168	489	2409
169	492	2403
170	494	2396
171	496	2389
172	498	2381
173	500	2374
174	502	2370
175	504	2362
176	506	2356
177	508	2349
178	510	2342
179	512	2335
180	514	2329
181	517	2324
182	520	2324
183	523	2320
184	525	2317
185	528	2313
186	530	2307
187	532	2301
188	534	2294
189	537	2290
190	539	2284
191	541	2276
192	542	2270
193	545	2264
194	547	2259
195	549	2253
196	551	2247
197	553	2242
198	555	2236
199	557	2229
200	559	2225
201	562	2222
202	564	2216
203	566	2209
204	568	2202
205	569	2196
206	571	2189
207	573	2184
208	575	2179
209	577	2174
210	579	2168
211	581	2162
212	583	2156
213	585	2150
214	587	2144
215	589	2139
216	592	2136
217	593	2130
218	595	2124
219	597	2118
220	599	2112
221	601	2106
222	602	2100
223	605	2096
224	607	2091
225	609	2086
226	611	2083
227	613	2077
228	615	2072
229	617	2066
230	619	2062
231	622	2059
232	624	2054
233	625	2048
234	627	2043
235	629	2037
236	631	2032
237	633	2027
238	635	2023
239	637	2019
240	639	2015
241	642	2012
242	644	2007
243	646	2002
244	648	1998
245	650	1993
246	652	1988
247	654	1983
248	655	1978
249	657	1972
250	659	1967
251	661	1962
252	663	1959
253	665	1954
254	667	1950
255	670	1947
256	672	1943
257	674	1939
258	676	1935
259	678	1932
260	681	1928
261	682	1923
262	684	1918
263	686	1913
264	688	1908
265	690	1904
266	692	1900
267	694	1896
268	696	1892
269	698	1887
270	699	1882
271	701	1878
272	703	1873
273	706	1870
274	708	1867
275	710	1863
276	712	1858
277	713	1853
278	715	1849
279	717	1844
280	719	1840
281	721	1837
282	723	1833
283	725	1829
284	727	1825
285	729	1821
286	731	1816
287	733	1813
288	735	1810
289	738	1807
290	740	1803
291	742	1800
292	744	1797
293	746	1792
294	748	1788
295	750	1785
296	753	1783
297	755	1779
298	757	1775
299	758	1770
300	760	1766
301	762	1762
302	764	1759
303	767	1757
304	769	1753
305	771	1749
306	773	1745
307	775	1741
308	776	1737
309	779	1734
310	781	1732
311	783	1728
312	785	1724
313	787	1720
314	789	1716
315	791	1712
316	793	1709
317	795	1706
318	797	1703
319	799	1699
320	801	1695
321	803	1691
322	805	1687
323	807	1684
324	809	1681
325	811	1678
326	813	1675
327	816	1672
328	818	1669
329	820	1665
330	822	1661
331	824	1658
332	826	1654
333	828	1651
334	830	1648
335	832	1645
336	834	1641
337	836	1637
338	838	1634
339	840	1631
340	842	1628
341	844	1624
342	846	1620
343	848	1617
344	850	1614
345	852	1611
346	854	1608
347	856	1605
348	858	1601
349	860	1597
350	862	1594
351	864	1590
352	866	1588
353	868	1585
354	871	1582
355	873	1579
356	875	1576
357	877	1574
358	880	1571
359	882	1569
360	885	1566
361	887	1563
362	889	1561
363	891	1558
364	893	1554
365	895	1551
366	898	1549
367	900	1545
368	902	1542
369	903	1538
370	905	1535
371	907	1532
372	909	1529
373	911	1526
374	914	1523
375	916	1520
376	919	1518
377	921	1516
378	924	1514
379	925	1510
380	927	1507
381	930	1504
382	932	1501
383	934	1498
384	936	1496
385	939	1494
386	941	1491
387	943	1488
388	945	1485
389	947	1482
390	949	1479
391	951	1476
392	954	1473
393	956	1471
394	958	1468
395	961	1466
396	963	1463
397	966	1461
398	968	1458
399	970	1456
400	972	1453
401	974	1450
402	976	1447
403	978	1443
404	980	1441
405	983	1438
406	985	1435
407	987	1432
408	989	1429
409	990	1425
410	992	1422
411	994	1419
412	997	1417
413	999	1414
414	1001	1411
415	1003	1408
416	1005	1405
417	1007	1402
418	1009	1399
419	1011	1396
420	1013	1394
421	1016	1391
422	1018	1388
423	1020	1385
424	1022	1382
425	1024	1379
426	1026	1377
427	1028	1374
428	1030	1371
429	1032	1369
430	1034	1366
431	1037	1363
432	1039	1361
433	1042	1359
434	1044	1356
435	1046	1353
436	1048	1350
437	1050	1348
438	1052	1345
439	1054	1342
440	1057	1340
441	1059	1337
442	1061	1334
443	1063	1331
444	1065	1328
445	1066	1324
446	1068	1321
447	1070	1318
448	1072	1315
449	1073	1312
450	1075	1309
451	1077	1305
452	1078	1302
453	1080	1299
454	1082	1296
455	1084	1293
456	1086	1290
457	1088	1287
458	1089	1284
459	1091	1281
460	1093	1278
461	1094	1274
462	1096	1271
463	1098	1268
464	1100	1266
465	1102	1263
466	1104	1260
467	1106	1257
468	1108	1255
469	1110	1251
470	1111	1248
471	1113	1245
472	1115	1243
473	1117	1240
474	1119	1237
475	1121	1234
476	1122	1231
477	1124	1227
478	1126	1225
479	1127	1221
480	1129	1219
481	1131	1216
482	1133	1213
483	1135	1210
484	1136	1207
485	1138	1204
486	1140	1201
487	1142	1198
488	1144	1195
489	1146	1193
490	1147	1190
491	1149	1187
492	1151	1184
493	1153	1181
494	1154	1178
495	1156	1175
496	1158	1172
497	1160	1169
498	1161	1166
499	1163	1163
500	1165	1160
501	1167	1157
502	1168	1154
503	1170	1151
504	1172	1149
505	1174	1146
506	1176	1143
507	1177	1140
508	1179	1138
509	1181	1135
510	1183	1132
511	1184	1129
512	1186	1126
513	1188	1123
514	1189	1120
515	1191	1117
516	1193	1114
517	1195	1112
518	1197	1109
519	1198	1106
520	1200	1103
521	1202	1100
522	1204	1098
523	1205	1095
524	1207	1092
525	1209	1089
526	1210	1086
527	1212	1083
528	1214	1081
529	1215	1078
530	1217	1075
531	1219	1072
532	1221	1069
533	1222	1067
534	1224	1064
535	1226	1061
536	1227	1058
537	1229	1055
538	1231	1053
539	1233	1050
540	1235	1047
541	1236	1045
542	1238	1042
543	1240	1039
544	1241	1036
545	1243	1034
546	1245	1031
547	1247	1028
548	1249	1026
549	1251	1023
550	1253	1021
551	1255	1018
552	1257	1016
553	1259	1013
554	1260	1011
555	1263	1008
556	1265	1006
557	1267	1003
558	1268	1000
559	1270	998
560	1272	995
561	1273	992
562	1275	990
563	1277	987
564	1279	985
565	1281	982
566	1283	979
567	1284	977
568	1286	974
569	1288	972
570	1290	969
571	1292	967
572	1294	964
573	1295	961
574	1297	959
575	1299	956
576	1300	953
577	1302	950
578	1304	948
579	1306	946
580	1308	943
581	1310	941
582	1312	938
583	1314	936
584	1316	933
585	1318	931
586	1319	928
587	1322	926
588	1324	923
589	1325	921
590	1327	918
591	1329	916
592	1330	913
593	1332	910
594	1334	908
595	1336	905
596	1338	903
597	1339	900
598	1341	898
599	1343	895
600	1345	893
601	1347	890
602	1348	887
603	1350	885
604	1352	882
605	1354	880
606	1355	877
607	1357	875
608	1359	872
609	1360	870
610	1362	867
611	1364	865
612	1366	862
613	1368	860
614	1370	858
615	1373	855
616	1374	853
617	1376	851
618	1378	848
619	1380	846
620	1383	844
621	1384	841
622	1386	839
623	1388	836
624	1390	834
625	1392	831
626	1394	829
627	1397	827
628	1399	825
629	1401	823
630	1403	820
631	1405	818
632	1407	816
633	1409	813
634	1412	811
635	1414	809
636	1416	807
637	1418	804
638	1420	802
639	1422	800
640	1424	797
641	1426	795
642	1428	793
643	1430	790
644	1432	788
645	1434	785
646	1435	783
647	1437	780
648	1439	778
649	1441	776
650	1443	773
651	1445	771
652	1447	768
653	1448	766
654	1451	764
655	1453	762
656	1455	759
657	1457	757
658	1459	755
659	1461	753
660	1463	750
661	1465	748
662	1467	746
663	1469	743
664	1471	741
665	1473	739
666	1475	736
667	1477	734
668	1479	731
669	1481	729
670	1484	727
671	1486	725
672	1488	723
673	1490	721
674	1492	718
675	1494	716
676	1496	714
677	1499	712
678	1501	709
679	1503	707
680	1504	704
681	1506	702
682	1508	700
683	1510	697
684	1511	695
685	1514	693
686	1515	690
687	1517	688
688	1519	685
689	1520	683
690	1522	680
691	1524	678
692	1526	676
693	1528	674
694	1530	671
695	1532	669
696	1534	666
697	1535	664
698	1537	662
699	1539	659
700	1541	657
701	1543	655
702	1545	652
703	1547	650
704	1549	648
705	1551	646
706	1553	643
707	1554	641
708	1556	639
709	1559	636
710	1561	634
711	1562	632
712	1564	629
713	1566	627
714	1567	624
715	1569	622
716	1571	620
717	1573	618
718	1575	615
719	1577	613
720	1578	611
721	1580	608
722	1582	606
723	1583	603
724	1585	601
725	1588	599
726	1590	597
727	1591	594
728	1593	592
729	1595	589
730	1596	587
731	1598	585
732	1600	582
733	1602	580
734	1604	578
735	1605	576
736	1607	573
737	1609	571
738	1611	569
739	1612	566
740	1614	564
741	1616	562
742	1618	559
743	1620	557
744	1621	555
745	1623	552
746	1624	550
747	1626	548
748	1628	545
749	1630	543
750	1632	541
751	1633	538
752	1635	536
753	1636	534
754	1638	531
755	1640	529
756	1641	527
757	1643	524
758	1645	522
759	1647	520
760	1649	517
761	1651	515
762	1652	513
763	1654	511
764	1655	508
765	1657	506
766	1659	504
767	1661	501
768	1662	499
769	1664	497
770	1666	494
771	1668	492
772	1669	490
773	1671	488
774	1673	485
775	1675	483
776	1677	481
777	1678	479
778	1680	476
779	1682	474
780	1684	472
781	1685	469
782	1687	467
783	1689	465
784	1691	463
785	1692	460
786	1695	458
787	1696	456
788	1698	454
789	1700	451
790	1702	449
791	1704	447
792	1706	445
793	1708	443
794	1709	440
795	1711	438
796	1713	436
797	1714	434
798	1716	431
799	1718	429
800	1720	427
801	1722	425
802	1724	423
803	1726	420
804	1727	418
805	1729	416
806	1730	413
807	1732	411
808	1734	409
809	1736	407
810	1738	405
811	1740	402
812	1741	400
813	1743	398
814	1745	396
815	1747	393
816	1749	391
817	1750	389
818	1752	387
819	1754	385
820	1756	383
821	1758	380
822	1760	378
823	1762	376
824	1764	374
825	1766	372
826	1768	369
827	1770	367
828	1771	365
829	1773	363
830	1775	361
831	1776	358
832	1778	356
833	1780	354
834	1782	352
835	1784	350
836	1785	347
837	1787	345
838	1789	343
839	1790	341
840	1792	338
841	1795	336
842	1796	334
843	1798	332
844	1800	330
845	1801	327
846	1803	325
847	1805	323
848	1807	321
849	1809	319
850	1810	317
851	1812	314
852	1814	312
853	1816	310
854	1817	308
855	1819	306
856	1821	303
857	1823	301
858	1825	299
859	1826	297
860	1828	295
861	1830	293
862	1832	290
863	1833	288
864	1835	286
865	1837	284
866	1839	282
867	1841	279
868	1843	277
869	1845	275
870	1846	273
871	1848	271
872	1850	269
873	1852	267
874	1854	264
875	1855	262
876	1857	260
877	1859	258
878	1861	256
879	1862	254
880	1864	251
881	1866	249
882	1868	247
883	1870	245
884	1872	243
885	1873	241
886	1875	238
887	1876	236
888	1878	234
889	1880	232
890	1882	230
891	1884	228
892	1886	225
893	1887	223
894	1889	221
895	1891	219
896	1892	217
897	1894	215
898	1896	213
899	1898	210
900	1900	208
901	1901	206
902	1903	204
903	1905	202
904	1907	200
905	1908	198
906	1910	195
907	1912	193
908	1914	191
909	1916	189
910	1918	187
911	1919	185
912	1921	183
913	1923	180
914	1925	178
915	1927	176
916	1929	174
917	1931	172
918	1932	170
919	1934	168
920	1936	166
921	1937	163
922	1939	161
923	1941	159
924	1943	157
925	1944	155
926	1946	153
927	1948	151
928	1949	149
929	1951	146
930	1953	144
931	1954	142
932	1957	140
933	1958	138
934	1960	136
935	1962	134
936	1963	132
937	1965	129
938	1967	127
939	1969	125
940	1971	123
941	1972	121
942	1974	119
943	1976	117
944	1978	115
945	1979	113
946	1981	110
947	1983	108
948	1985	106
949	1986	104
950	1988	102
951	1990	100
952	1992	98
953	1994	96
954	1996	94
955	1997	91
956	1999	89
957	2001	87
958	2003	85
959	2005	83
960	2006	81
961	2008	79
962	2010	77
963	2012	75
964	2013	73
965	2015	70
966	2017	68
967	2019	66
968	2020	64
969	2022	62
970	2024	60
971	2026	58
972	2027	56
973	2029	54
974	2031	52
975	2033	50
976	2035	47
977	2036	45
978	2038	43
979	2040	41
980	2041	39
981	2043	37
982	2045	35
983	2047	33
984	2048	31
985	2050	29
986	2052	27
987	2053	24
988	2055	22
989	2057	20
990	2059	18
991	2061	16
992	2062	14
993	2064	12
994	2066	10
995	2067	8
996	2069	6
997	2071	4
998	2073	2
999	2075	0
